#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-23T15:00:17 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-23T15:00:17	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII/20/catalog&-out.max=400&-out=Sh2&-out=_RAJ2000&-out=_DEJ2000&-out=Diam	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7020
#Name: VII/20
#Title: Catalogue of HII Regions (Sharpless 1959)
#INFO	ivoid=ivo://cds.vizier/vii/20	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/20	    IVOID of underlying data collection
#INFO	creator=Sharpless S.	    First author or institution
#INFO	cites=bibcode:1959ApJS....4..257S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=1959	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/20	    Dataset landing page
#INFO	publication_date=1998-02-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1900:	eq_FK4 B1900
#Table	VII_20_catalog:
#Name: VII/20/catalog
#Title: The Sharpless (Sh 2) Catalogue
#Column	Sh2	(I4)	[1/313]+ Sharpless HII catalog number	[ucd=meta.id;meta.main]
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Diam	(I4)	Maximun angular diameter of H II region	[ucd=phys.angSize;src]
Sh2	_RAJ2000	_DEJ2000	Diam
  66	281.375485	 -1.996359	   8
  67	282.353870	 -2.353714	  10
  68	276.297914	 +0.854944	   8
  69	281.109098	 -0.282159	  20
  70	273.662166	 +7.063032	   5
  71	285.511295	 +2.159682	   3
  72	285.959908	 +2.313897	  25
  73	242.781771	+21.874001	  75
  74	287.204253	 +5.609001	   3
  75	284.814141	 +7.120011	  10
  76	284.107244	 +7.813373	   7
  77	297.072002	 +1.147923	   8
  78	285.796388	+14.129562	  12
  79	290.826825	+13.976087	  40
  80	287.870583	+16.865698	   2
  81	300.306158	+11.792703	  10
  82	292.586491	+18.275551	   9
  83	291.133967	+20.795858	   2
  84	297.266643	+18.400282	  15
  85	285.821783	+25.830382	   6
  86	295.790393	+23.287607	  40
  87	296.602918	+24.628112	  10
  88	296.495115	+25.343871	  25
  89	297.510043	+26.486076	   5
  90	297.305456	+26.867656	   6
  91	293.891846	+29.604452	 120
  92	296.663784	+28.245479	  50
  93	298.755079	+27.213485	   1
  94	291.965024	+31.470599	  25
  95	298.757176	+29.296933	   1
  96	292.175217	+32.689232	  25
  97	299.021930	+30.265907	  10
  98	299.685520	+31.421603	  15
  99	300.212630	+33.492825	   5
 100	300.463213	+33.511601	   4
 101	299.989687	+35.291038	  20
 102	307.946129	+30.605153	  40
 103	312.635300	+30.923446	 210
 104	304.438086	+36.744464	   7
 105	303.011585	+38.349646	  18
 106	306.865302	+37.397065	   3
 107	310.695098	+36.342820	   5
 108	305.647837	+40.254302	 180
 109	308.410257	+40.342476	1080
 110	320.203588	+32.457864	  50
 111	325.472051	+30.105702	  90
 112	308.459844	+45.659808	  15
 113	320.200743	+38.091341	  15
 114	320.295039	+38.708617	   9
 115	308.641680	+46.877934	  50
 116	308.080214	+47.357009	   2
 117	314.693997	+44.321858	 240
 118	324.254718	+40.215724	 480
 119	319.607464	+43.937802	 160
 120	315.946288	+49.880726	   1
 121	316.302917	+49.649790	   1
 122	347.197052	+14.924960	  40
 123	325.594953	+44.540061	  13
 124	324.590477	+50.351297	  70
 125	328.388247	+47.271720	   9
 126	338.364627	+38.582232	 160
 127	322.174631	+54.620754	   2
 128	323.036769	+55.859258	   1
 129	317.937184	+59.961301	 140
 130	310.748539	+63.228471	   3
 131	324.751344	+57.485863	 170
 132	334.698644	+56.134785	  90
 133	322.249782	+64.305210	  80
 134	332.874496	+59.410326	 160
 135	335.548528	+58.738369	  15
 136	319.123660	+68.253161	   5
 137	329.279830	+64.693635	  90
 138	338.164725	+58.481799	   1
 139	338.751593	+58.217249	  10
 140	334.782653	+63.285379	  30
 141	337.126936	+61.644674	   5
 142	341.898884	+58.061042	  30
 143	342.562148	+57.713043	   4
 144	341.217368	+59.892275	   4
 145	336.390123	+64.308586	  90
 146	342.359759	+59.929140	   2
 147	343.873749	+58.466813	   2
 148	344.050895	+58.517300	   2
 149	344.101487	+58.534105	   1
 150	337.799756	+65.113988	  40
 151	345.763959	+57.071732	  20
 152	344.657410	+58.785598	   2
 153	344.810201	+58.735998	   5
 154	342.852607	+61.180620	  60
 155	344.182428	+62.617717	  60
 156	346.293974	+60.256376	   2
 157	349.014861	+60.045551	  90
 158	348.417954	+61.511050	  10
 159	348.929776	+61.145395	   7
 160	346.448700	+64.673460	  80
 161	348.872784	+61.861956	  55
 162	350.175546	+61.197683	  40
 163	353.331682	+60.785671	  10
 164	354.606555	+59.970418	   3
 165	354.954495	+61.937426	  10
 166	355.543494	+60.971286	  10
 167	353.843639	+64.852947	   2
 168	358.265930	+60.472980	   7
 169	358.494924	+60.373066	   5
 170	000.426583	+64.623442	  20
 171	001.167736	+67.156754	 180
 172	003.887204	+61.255903	   1
 173	005.466227	+61.738175	  30
 174	356.705245	+80.938866	  10
 175	006.830055	+64.703596	   2
 176	007.913634	+57.285703	  10
 177	007.887834	+62.469078	  40
 178	334.734369	+87.761599	 420
 179	010.105818	+62.866004	   1
 180	012.194548	+62.929036	  15
 181	012.319468	+65.212150	  15
 182	012.569468	+64.744991	   2
 183	013.499198	+65.709768	  35
 184	013.211532	+56.610293	  40
 185	015.000065	+60.989678	 120
 186	017.212961	+63.134072	   1
 187	020.782395	+61.856646	  10
 188	022.663966	+58.366758	   9
 189	033.035627	+64.171696	   2
 190	038.346484	+61.442324	 150
 191	039.163884	+59.637358	   2
 192	041.809096	+61.987958	   1
 193	041.885601	+62.004143	   2
 194	041.833010	+61.937803	   2
 195	040.025204	+59.648830	   3
 196	042.830044	+62.231473	   4
 197	040.480935	+59.646042	   5
 198	042.507607	+59.699990	   9
 199	043.639879	+60.409384	 120
 200	047.687810	+62.815491	   6
 201	045.793222	+60.478346	   5
 202	049.714745	+59.633997	 170
 203	050.504288	+54.877790	  45
 204	058.940228	+57.428936	  40
 205	059.034023	+53.194393	 120
 206	060.804482	+51.329528	  50
 207	065.020692	+53.143657	   4
 208	064.941256	+52.977665	   1
 209	062.762542	+51.162946	  14
 210	067.746229	+52.552910	  20
 211	069.240842	+50.939353	   2
 212	070.157349	+50.381015	   5
 213	065.179031	+44.924881	   1
 214	065.395441	+44.372947	   4
 215	064.387309	+42.614943	   2
 216	071.237642	+46.820848	  80
 217	074.697985	+48.005693	   9
 218	085.319055	+52.188411	  70
 219	074.033409	+47.395149	   3
 220	060.159880	+36.617250	 320
 221	075.416721	+46.348830	 120
 222	067.541037	+35.270057	   6
 223	079.299584	+42.211837	  70
 224	081.817178	+42.971187	  30
 225	081.751583	+40.621623	  10
 226	077.778436	+37.992610	   3
 227	079.971994	+38.955179	  20
 228	078.396354	+37.453387	   8
 229	079.079116	+34.463366	  65
 230	080.626542	+34.131925	 300
 231	084.831537	+35.924953	  12
 232	085.611210	+36.200769	  40
 233	084.679475	+35.793080	   2
 234	082.032419	+34.435144	  12
 235	085.255827	+35.854181	  10
 236	080.640968	+33.365070	  55
 237	082.856045	+34.277219	   7
 238	065.458264	+19.537712	   1
 239	067.822497	+18.116690	   5
 240	085.251383	+28.103722	 180
 241	091.030452	+30.247783	  10
 242	087.964076	+27.010706	   7
 243	084.843835	+23.290721	   6
 244	083.628056	+21.952384	   5
 245	060.639377	 +4.128584	 720
 246	075.539968	+14.095695	  65
 247	092.126436	+21.619964	   9
 248	094.161165	+22.500255	  50
 249	095.242648	+23.089801	  80
 250	070.047178	 +7.362835	  10
 251	068.207621	 +5.862733	  35
 252	092.413932	+20.500444	  40
 253	096.433015	+20.028111	   5
 254	093.087100	+18.043776	  11
 255	093.286347	+17.975171	   3
 256	093.161013	+17.943053	   1
 257	093.211361	+17.975899	   3
 258	093.385791	+17.924203	   1
 259	092.905707	+17.445507	   2
 260	073.782806	 +5.661731	  22
 261	092.238344	+15.801905	  45
 262	076.688490	 +6.167872	  20
 263	080.436160	 +8.399039	  22
 264	083.802219	 +9.933437	 390
 265	079.651593	 +7.439821	  70
 266	094.707668	+15.277909	   1
 267	093.972275	+14.268325	   4
 268	092.562715	+13.331964	  60
 269	093.642694	+13.821501	   4
 270	092.557425	+12.815323	   1
 271	093.727671	+12.353937	   2
 272	093.752498	+12.337029	   1
 273	100.202111	 +9.907967	 250
 274	112.278753	+13.261891	   8
 275	097.928714	 +4.929592	 100
 276	081.867173	 -3.965242	1200
 277	085.181784	 -2.447136	 120
 278	079.950965	 -5.663628	  50
 279	083.833970	 -4.800887	  20
 280	098.580563	 +2.539868	  40
 281	083.727499	 -5.466557	  60
 282	099.495686	 +1.514355	  35
 283	099.662988	 +0.712711	   3
 284	101.258422	 +0.230744	  80
 285	103.801500	 -0.510139	   1
 286	103.638542	 -4.508777	   6
 287	104.886023	 -4.803904	  12
 288	107.141249	 -4.308344	   1
 289	101.485810	 -7.338440	  11
 290	133.546186	 +8.921139	  17
 291	103.854898	 -8.027651	   8
 292	106.107495	-10.448963	  21
 293	105.448781	-11.309492	  11
 294	109.143751	 -9.443790	   7
 295	105.672419	-11.461598	   8
 296	106.450219	-11.218870	 200
 297	106.314262	-12.334317	   7
 298	109.658184	-13.198687	  22
 299	112.665656	-15.292796	   1
 300	112.764623	-15.410358	   3
 301	107.453505	-18.478562	   9
 302	112.924530	-16.978531	  21
 303	103.507476	-22.425061	  90
 304	100.860860	-24.133306	 200
 305	112.533735	-18.525085	   4
 306	112.653022	-19.109519	  30
 307	113.883207	-18.753859	   6
 308	103.540528	-23.942122	  35
 309	113.025292	-19.429546	  12
 310	108.263998	-24.586383	 480
 311	118.086620	-26.441060	  45
 312	134.790511	-25.688557	 720
 313	193.381821	-22.859898	  12

